time,open,high,low,close,tickvol,vol
2024-01-08,132840.0,134050.0,132305.0,134050.0,4084867,14758201
2024-01-09,133490.0,133495.0,132360.0,132560.0,4214360,15576365
2024-01-10,132700.0,133060.0,131595.0,131910.0,3953211,14660612
2024-01-11,132050.0,132430.0,130950.0,131730.0,5004226,16728166
2024-01-12,131580.0,133040.0,131380.0,132005.0,3877112,13949687
2024-01-15,131695.0,132830.0,131260.0,132665.0,2873633,11028652
2024-01-16,131945.0,132010.0,130015.0,130070.0,4608517,17370760
2024-01-17,129600.0,130165.0,128980.0,129170.0,4040349,14884381
2024-01-18,129730.0,130200.0,128040.0,128050.0,3975775,15638453
2024-01-19,128690.0,128890.0,127295.0,128250.0,3818398,15149923
2024-01-22,128450.0,128645.0,126580.0,127250.0,4121374,16149291
2024-01-23,127600.0,129155.0,127480.0,129030.0,4176060,16238152
2024-01-24,129760.0,130215.0,128250.0,128315.0,4218248,16980033
2024-01-25,128740.0,129315.0,128400.0,128670.0,3979567,15311796
2024-01-26,129125.0,129805.0,128370.0,129325.0,4025513,14837224
2024-01-29,129630.0,129655.0,128320.0,129100.0,4072215,15252431
2024-01-30,128820.0,129260.0,127495.0,127660.0,4278548,16844846
2024-01-31,127595.0,130060.0,127530.0,127990.0,4916277,19415109
2024-02-01,128485.0,128950.0,127545.0,128790.0,4399349,16947221
2024-02-02,129035.0,129280.0,126860.0,127580.0,4196870,16412114
2024-02-05,127320.0,128075.0,126610.0,127800.0,4043589,15958333
2024-02-06,127995.0,131110.0,127870.0,131110.0,4102560,16220666
2024-02-07,130650.0,130650.0,129555.0,130045.0,4187271,16214943
2024-02-08,129835.0,130195.0,127955.0,128280.0,4217358,16310533
2024-02-09,128600.0,129020.0,127575.0,128060.0,4208138,16164089
2024-02-14,129420.0,129770.0,128765.0,129200.0,2183336,8221856
2024-02-15,129465.0,129925.0,128985.0,129900.0,4116079,15318357
2024-02-16,130180.0,131165.0,129690.0,130830.0,4125379,15948898
2024-02-19,130465.0,131065.0,130085.0,131035.0,2688908,10293979
2024-02-20,130395.0,132070.0,130085.0,132070.0,3971098,15930581
2024-02-21,131520.0,132245.0,131215.0,132245.0,4247261,15955988
2024-02-22,132950.0,133000.0,131820.0,132055.0,3936614,15201721
2024-02-23,132260.0,132480.0,130860.0,131515.0,3618772,14692909
